3.45,S,0
0,L,7
0,L,6
2,L,5
0,S,3
0,M,1
0.2,S,3
0.8,M,7
0.8,M,4
0.8,L,1
0.8,S,2
0.8,L,3
0.8,L,0
0.8,M,5
0.8,S,1
0.7,M,8
0.7,S,2
0.7,L,0
2,M,2
0,S,5
0,S,7
0,L,8
1.5,S,0
0,S,3
0,S,5
1.2,M,2
0,L,8
0,L,6
1.2,L,7
0,M,4
0,S,5
1.2,L,3
0,L,4
0,L,5
0.4,S,3
0,L,7
0,S,6
0,S,8
0.2,L,3
0.6,M,2
0.6,M,4
0.4,S,5
2.1,M,0
0.1,M,1
0.1,M,2
0.1,M,3
0.1,M,4
0.1,M,5
0.1,M,6
0.7,S,8
0,M,3
0.5,L,6
0,L,4
0.6,S,5
0,L,1
0.6,M,2
0,M,8
0,S,5
0.6,L,7
0,S,3
0.6,M,2
0,L,8
0.8,M,4
0.1,M,6
0.2,M,1
0.4,M,7
0.1,L,8
0.1,S,7
0.1,S,6
0.1,M,5
0.1,L,0
0.1,L,2
0.1,M,3
0.6,S,0
0,S,2
0.6,L,6
0,S,7
0.6,M,5
0,S,3
0.6,L,8
0,S,0
0.6,S,4
0,S,0
0.5,M,5
0,S,4
0.2,L,3
0,S,2
0,S,1
0.6,M,8
0,S,7
0,S,6
0,S,5
0.2,S,3
0,S,5
0.7,L,0
0,S,3
0,S,7
0.6,M,8
0,S,4
0,S,5
0.6,L,0
0,S,3
0,S,5
0.6,L,2
0,S,8
0,S,0
0.7,M,5
0.6,M,3
1,L,4
0.1,L,3
0.1,L,2
0.1,L,1
0.1,L,0
0.1,L,8
0.1,L,7
0.1,L,6
0.1,L,5
0.7,S,2
0.6,S,6
0.6,L,5
0.6,S,8
0.6,L,0
0.6,S,4
0.6,M,2
0.2,S,8
0.2,S,7
0.2,S,6
0.2,S,5
0.2,S,4
0.2,S,3
0.5,S,8
0,M,4
0.6,M,1
0,S,5
0.6,S,0
0,S,6
0.6,L,7
0,L,3
0.6,S,5
0,M,6
0.6,M,1
0,L,6
0.5,S,0
0,S,8
0.2,S,1
0,S,7
0.2,S,2
0,S,6
0.2,S,3
0,S,5
0.2,S,3
0,S,5
0.2,S,2
0,S,6
0.2,L,4
0.85,L,3
0,L,5
0.6,M,1
0,M,0
0,M,2
0.7,S,3
0,S,4
0,S,5
0.7,L,0
0,L,1
0,L,2
0.7,S,6
0,M,7
0,L,8
0.6,L,4
0.2,L,3
0,L,5
0.2,L,2
0,L,6
0.2,L,1
0,L,7
0.4,S,0
0,S,8
0.2,S,1
0,S,7
0.2,S,2
0,S,6
0.2,S,3
0,S,5
0.5,M,6
0.6,S,2
0.6,S,6
0.6,L,1
0.6,L,4
0.5,M,5
0,M,8
0.2,M,4
0,M,7
0.2,M,3
0,M,6
0.2,M,2
0,M,5
0.2,M,1
0,M,4
0.2,M,0
0,M,3
0.2,M,0
0,M,3
0.2,M,1
0,M,4
0.2,M,2
0,M,5
0.2,M,3
0,M,6
0.2,M,4
0,M,7
0.2,M,5
0,M,8
0.2,M,5
0,M,8
0.2,M,4
0,M,7
0.2,M,3
0,M,6
0.2,M,2
0,M,5
0.2,M,1
0,M,4
0.2,M,0
0,M,3
0.2,M,0
0,M,3
0.2,M,1
0,M,4
0.2,M,2
0,M,5
0.2,M,3
0,M,6
0.2,M,4
0,M,7
0.2,M,5
0,M,8
0.2,M,5
0,M,8
0.2,M,4
0,M,7
0.2,M,3
0,M,6
0.2,M,2
0,M,5
0.2,M,1
0,M,4
0.2,M,0
0,M,3
0.2,M,0
0,M,3
0.2,M,1
0,M,4
0.2,M,2
0,M,5
0.2,M,3
0,M,6
0.2,M,4
0,M,7
0.2,M,5
0,M,8
0,M,4
0,M,3
0,M,2
0,M,1
0,M,0
10.9,L,3
0,L,2
0,L,1
0,L,0
0,L,5
0,L,6
0,L,7
0,L,8
0.1,L,3
0,L,2
0,L,1
0,L,0
0,L,5
0,L,6
0,L,7
0,L,8
5.2,S,4
0,S,3
0,S,2
0,S,1
0,S,0
0,S,6
0,S,7
0,S,8
0.1,S,4
0,S,3
0,S,2
0,S,1
0,S,0
0,S,6
0,S,7
0,S,8
2.5,L,4
0,L,1
0.2,L,3
0,L,8
0.5,S,6
0,S,4
0.2,L,5
0,L,0
0.4,M,2
0,M,7
0.2,M,3
0,M,0
0.9,L,6
0,L,4
0.6,S,5
0,L,1
0.6,M,2
0,M,8
0,S,5
0.6,L,7
0,S,3
0.6,M,2
0,L,8
0.8,M,4
0.1,M,6
0.2,M,1
0.4,M,7
0.1,L,8
0.1,S,7
0.1,S,6
0.1,M,5
0.1,L,0
0.1,L,2
0.1,M,3
0.6,S,0
0,S,2
0.6,L,6
0,S,7
0.6,M,5
0,S,3
0.6,L,8
0,S,0
0.6,S,4
0,S,0
0.5,M,5
0,S,4
0.2,L,3
0,S,2
0,S,1
0.6,M,8
0,S,7
0,S,6
0,S,5
0.2,S,3
0,S,5
0.7,L,0
0,S,3
0,S,7
0.6,M,8
0,S,4
0,S,5
0.6,L,0
0,S,3
0,S,5
0.6,L,2
0,S,8
0,S,0
0.7,M,5
0.6,M,3
1.1,L,4
0.1,L,3
0.1,L,2
0.1,L,1
0.1,L,0
0.1,L,8
0.1,L,7
0.1,L,6
0.1,L,5
0.7,S,2
0.6,S,6
0.6,L,5
0.6,S,8
0.6,L,0
0.6,S,4
0.6,M,2
0.2,S,8
0.2,S,7
0.2,S,6
0.2,S,5
0.2,S,4
0.2,S,3
0.5,S,8
0,M,4
0.6,M,1
0,S,5
0.6,S,0
0,S,6
0.6,L,7
0,L,3
0.6,S,5
0,M,6
0.6,M,1
0,L,6
0.5,S,0
0,S,8
0.2,S,1
0,S,7
0.2,S,2
0,S,6
0.2,S,3
0,S,5
0.2,S,3
0,S,5
0.2,S,2
0,S,6
0.2,L,4
0.9,L,3
0,L,5
0.6,M,1
0,M,0
0,M,2
0.7,S,3
0,S,4
0,S,5
0.7,L,0
0,L,1
0,L,2
0.7,S,6
0,M,7
0,L,8
0.6,L,4
0.2,L,3
0,L,5
0.2,L,2
0,L,6
0.2,L,1
0,L,7
0.4,S,0
0,S,8
0.2,S,1
0,S,7
0.2,S,2
0,S,6
0.2,S,3
0,S,5
0.5,M,6
0.6,S,2
0.6,S,6
0.6,L,1
0.6,L,4
0.5,M,5
0,M,8
0.2,M,4
0,M,7
0.2,M,3
0,M,6
0.2,M,2
0,M,5
0.2,M,1
0,M,4
0.2,M,0
0,M,3
0.2,M,0
0,M,3
0.2,M,1
0,M,4
0.2,M,2
0,M,5
0.2,M,3
0,M,6
0.2,M,4
0,M,7
0.2,M,5
0,M,8
0.2,M,5
0,M,8
0.2,M,4
0,M,7
0.2,M,3
0,M,6
0.2,M,2
0,M,5
0.2,M,1
0,M,4
0.2,M,0
0,M,3
0.2,M,0
0,M,3
0.2,M,1
0,M,4
0.2,M,2
0,M,5
0.2,M,3
0,M,6
0.2,M,4
0,M,7
0.2,M,5
0,M,8
0.2,M,5
0,M,8
0.2,M,4
0,M,7
0.2,M,3
0,M,6
0.2,M,2
0,M,5
0.2,M,1
0,M,4
0.2,M,0
0,M,3
0.2,M,0
0,M,3
0.2,M,1
0,M,4
0.2,M,2
0,M,5
0.2,M,3
0,M,6
0.2,M,4
0,M,7
0.2,M,5
0,M,8
0,M,4
0,M,3
0,M,2
0,M,1
0,M,0
